user_id,user_name,user_level,user_guanzhu_num,user_fans_num,user_beifangwen_num,user_huida_num,user_answer_list,user_tiwen_num,user_liuyan_num,user_liuyan_list
35082143,宝贝宝贝宝贝,19,38,1190,1927,18,[],26,1,"[{'liuyan_user_id': '93906419', 'liuyan_time': '2018-07-14 17:38:00'}]"
35083466,青芒果abc,12,34,1185,1832,21,[],18,1,"[{'liuyan_user_id': '82300522', 'liuyan_time': '2016-05-17 10:56:57'}]"
35181917,smile_lan,19,40,1201,1897,10,[],18,0,[]
35248485,tongdie,17,31,1188,1879,12,[],24,0,[]
35270487,亲亲monkey,19,29,1201,1873,12,[],24,0,[]
35278739,novel_zq,18,32,1192,1836,7,[],23,1,"[{'liuyan_user_id': '55250396', 'liuyan_time': '2016-05-30 20:25:23'}]"
35281510,swidney,17,33,1203,1820,13,[],16,0,[]
35283390,lance,16,32,1162,1872,20,[],22,0,[]
35286389,feiyang,15,39,1163,1835,15,[],26,0,[]
35329667,hipnoss,15,37,1203,1836,12,[],21,0,[]
35344293,yyqbq,17,40,1189,1770,14,[],22,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2019-03-21 07:58:33'}]"
35354802,licheng,19,45,1170,1773,5,[],17,0,[]
35374012,issachen,13,37,1178,1877,12,[],31,0,[]
35403447,addict_,18,33,1183,1798,11,[],21,0,[]
35408675,能吃三个派,10,30,1193,1859,15,[],28,0,[]
35415452,wangjiedlws,16,45,1185,1785,5,[],19,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2018-01-22 17:29:27'}]"
35442206,养蝙蝠的格格,16,38,1173,1975,19,[],30,0,[]
35468436,晕鬼wendy,18,29,1193,1867,11,[],26,0,[]
35505919,marssai,17,34,1177,1790,18,[],25,0,[]
35509887,dongli,17,37,1198,1824,13,[],22,0,[]
35536777,aipesen,20,27,1196,1788,14,[],24,3,"[{'liuyan_user_id': '50883027', 'liuyan_time': '2018-10-25 09:51:53'}, {'liuyan_user_id': '93618197', 'liuyan_time': '2017-09-25 20:56:47'}, {'liuyan_user_id': '93618197', 'liuyan_time': '2017-09-24 17:07:39'}]"
35540886,guorose,19,34,1179,1959,13,[],24,1,"[{'liuyan_user_id': '316526', 'liuyan_time': '2018-01-22 15:14:42'}]"
35549338,zhjian,16,35,1175,1784,13,[],34,0,[]
35552078,tiandig,17,44,1211,1806,10,[],14,0,[]
35577643,cylcyl,20,31,1193,1897,6,[],17,0,[]
35595971,liubingyin,20,37,1193,1908,19,[],22,0,[]
35603841,花young年华,17,29,1182,1760,14,[],33,0,[]
35622735,斯薇young,20,35,1187,1950,19,[],19,2,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2018-10-28 08:22:46'}, {'liuyan_user_id': '93618197', 'liuyan_time': '2018-10-27 08:48:24'}]"
35628936,你的世界观,16,31,1196,1785,14,[],33,0,[]
35676575,噜噜juicy,13,31,1177,1681,14,[],27,0,[]
35688107,毛瘦瘦,21,174,1246,2515,105,[],47,1,"[{'liuyan_user_id': '95167867', 'liuyan_time': '2017-10-18 08:12:13'}]"
35709578,人山人海miracle,15,26,1190,1855,12,[],29,0,[]
35728886,liuxian,18,38,1187,1848,18,[],24,0,[]
35733569,李可可,18,53,1201,2050,28,[],39,0,[]
35768706,cheesexie,12,36,1189,1699,10,[],26,0,[]
35769516,土豆烧鸡块,19,34,1191,1729,12,[],20,1,"[{'liuyan_user_id': '93618197', 'liuyan_time': '2018-12-31 08:28:37'}]"
35776428,fangfangdou,14,29,1182,1836,14,[],21,0,[]
35806665,agathahe,15,36,1191,1823,12,[],23,0,[]
35807980,leemogenius,13,32,1190,1852,16,[],25,1,"[{'liuyan_user_id': '69440162', 'liuyan_time': '2016-10-28 23:28:27'}]"
35855538,zenglm,19,36,1189,1723,12,[],32,0,[]
